partners,matched_owners,owners_confidence,cik_no_partners,form_d_partners_id,crd_no_owners,form_adv_owners_id
Brian Klein,Klein Brian Katz,0.6217513587054835,1470876,113,116569,5812
William Hoagland,Hoagland William Bradford,0.7685466813406783,1550970,1171,170082,36971
Naiel Kanno,Ma Kai,0.9829650200750106,1096759,178,298075,47460
Darren Dunckel,Yodaiken Terrence Duncan,0.9248234684929896,1471781,532,171592,2050
Alan Kelly,Dunagan Kelly Allan,0.7618428325462929,1414641,1338,122307,14251
Michael Dingman,Langman Michael Steven,0.7995015332509581,1316644,1298,291923,46285
Robert Miniutti,Martin Robert H,0.9515819237084304,1595918,1291,300631,48996
Richard Calme,Cary Richard Carl,0.8358647896053842,1425287,650,146509,6044
Juan Pablo Tardio,Pallordet Juan Pablo,0.8106580832633025,46765,681,175505,14361
Inderjit Singh,Bindra Avinderjit Singh,0.7099185897442256,1443897,582,153919,51069
Paul Feldman,Feldman Paul Ian,0.65188671734189,1086688,1204,305654,51752
David Jaques,Paquette Sid,0.8764708170265013,1447380,657,219511,1597
Ronald Ohanley,Henley Ronald Brian,0.9239958850021276,315066,118,285114,29746
Steven Sramowicz,Harasimowicz Stephen J,0.9005603273514149,1374536,205,108257,6596
David Taft,Taft David Adams,0.7024197157454828,8328,794,160585,5794
Delbert Steiner,Steiner Robert Melvin,0.9230335265384072,1030192,459,728,3172
Julie Anderson,Anderson Julie,0.40528723075094253,1579823,674,322215,60249
Steven Friedman,Friedman Steven Alan,0.540740526193241,1513907,1132,290173,29067
Vered Caplan,Caplan Daniel,0.9336566769494145,1452804,193,284699,15370
Henry Brock,Henry Brett,0.7438315065867123,1060910,1297,314463,58345
Gary Aman,Garg Amit,0.9256755869554066,1128353,622,265789,14881
E Mead,,1.0,1301206,633,316652,57985
Craig Jorasch,Craig Paige,0.8489958121358198,1560056,1197,314920,57058
Joan Brubacher,Grumbach Brian John,0.9858127544023733,1423357,486,288512,17476
Joseph Mitchell,Mitchell Joseph M,0.27993465616265956,1346346,762,314749,57768
David Allen,Allen David,0.5404269704057322,1086745,239,290704,29896
Craig Murrin,Burr Craig L,0.779276879951038,1135657,195,162040,6098
Mohit Bhatnagar,Bhatnagar Mohit Nmn,0.5757481278775061,1613570,710,163714,474
Michael Fleming,Fleming Michael J,0.4812924118663102,1534708,282,139570,1728
Takegaki Masashi,Sasaki Takeshi,0.5908104124293554,1550053,503,324136,61739
Adrian Liddell,Lindenmann Adrian,0.9547416179390388,1424768,771,291759,29729
Patrick Hallren,Halpin Patrick Hadden,0.9157820997877071,1355848,259,307537,53253
Dale Conaway,Callaway Daniel Cole,0.8414211655661745,1473579,427,127447,13647
Matt Howe,Gott Steve Howell,0.9018781862583737,1403085,345,137045,586
Frank Ingriselli,Ingraham Frank Todd,0.9245240585472274,1141197,697,317806,59848
Shimon Erlichman,Shin Simon,0.9888925372563125,1419582,347,322038,60096
Alberto Del Valle,Delillo Mark Albert,0.9464854296411687,1118847,718,163428,6982
James Greenwell,Greenwood James,0.8459049067305993,1415684,647,162394,9553
Harvey Yellen,Harvey Mary A,0.9309269706617993,1464790,98,120805,22482
Hobart Brimingham Jr,Bingham Brian,0.9748186718895328,1269515,751,118389,43227
C White,White Whitney James,0.8486899432268293,1293818,754,309455,56296
Craig Dionne,Craig Paige,0.8681410857391226,1421204,577,314920,57058
Timothy Lane,Keane Timothy J,0.6900018360584167,1134765,624,292447,44811
Daryl Magana,Magana Catherine Mary,0.9128711099570788,1301206,633,157620,569
Charles Slocomb,Slocombe David R,0.8617036786646199,99771,684,170486,37708
Kent Roberts Ii,Roberts Robert G,0.7905439349749006,880242,520,316731,58031
Michael Galvis,Galvin Michael P,0.5434727982118617,1475899,585,289883,28921
Stanley Checketts,Renecker Stanley George,0.9200583819694589,314712,722,111944,14051
John Mack,House John Mack,0.7075373793350584,1084226,316,146350,40994
Thomas Miller Phd Mba,,1.0,946486,651,316652,57985
Mark Katsumata,Matsumoto Kaori,0.8825426303562139,1334933,403,106178,14352
Richard Bogan,Vanden Boogard Richard Jay,0.6763473387120248,1028153,310,140431,6433
Alexander Boies,Alexander Brent B,0.8057031235237119,1574186,287,170902,30445
Jessica Smith,Smith Jessica L,0.43817852573625043,748268,155,131539,4110
Shawn Hagel,Fagan Shawn F,0.8559517060241568,79958,683,148826,7024
Michael Benstock,Bienstock Michael,0.7381846014292397,95574,709,124965,54729
Sharon Hollis,Hollis Mark Aaron,0.96242780925957,1374536,205,161504,12080
Derek Dubner,Dunn Derek,0.9065145253945767,1460329,356,152884,3848
Richard Ransom,Rans Robert Richard,0.8006617851153903,1076522,237,133988,7096
Alex Marshall,Marshall Alex James,0.5879742535167326,1339131,1276,161468,12302
Joshua Kaufman,Kaufman Joshua Wes,0.49776999145975953,1369622,1304,138541,4086
Rudolph Kluiber,Galera Rudolph A,0.9229668776467558,911583,817,153825,4854
Eric Benhamou,Benhamou Eric Albert,0.7018519458221748,1366340,639,288103,16984
Andrea Betti Berutto,Bertolotti Andre,0.8790770803352242,1432150,791,146011,11
Stephen Scullen,Mullen Sean Stephen,0.8064770674701318,315066,117,288170,44530
John Bailey,Bailey John C,0.5126678237253193,1377149,398,106043,3456
Mary Templeton,Foy Britton Templeton,0.746981285815358,946486,305,146833,40323
Edward Fritzky,Zaritzky Bernard,0.8835199742475393,52988,777,288974,46445
Michael Rasmussen,Rasmussen Michael,0.35578842246764614,59860,690,316371,58398
John Crissman,Crisman Thomas Jon,0.8584997782085794,1101026,747,164725,43355
Margaret Loesch,Long Margaret M,0.8505330605416517,1355848,259,159888,10980
John Yonemoto,Yonemoto John Kenji,0.7994645974728304,1135657,195,133613,1248
Joseph Mahady,Mah Joseph,0.675742057100294,946486,651,157936,16197
Carl Ager,Agel Marc Allen,0.9633031250886401,1084226,786,316226,57837
Russell Clayton Do,Hall Clayton A,0.7943653404509203,946486,651,122266,4501
George Naselaris,Farris George N,0.8067570776470145,1424640,524,122546,31654
Maggie Moran,Sagie Mali,0.9073086948724444,1425287,526,312614,55440
Jonathan Reich,Reichek Jonathan G,0.6950312282067757,849145,700,147775,10537
Phillip Peterson,Pearson Philip J,0.5600935788956811,1531230,740,158072,4922
Dale Dorn,Thorne Donald,0.8505498152140963,1357838,569,137082,37688
Marta Tienda,Martin Linda Marie,0.9590311976351934,315038,135,127549,12993
Lisa Nichols,Rosa Nicholas,0.7844441118508506,1107796,467,168817,3402
James Sabala,Karabas James J,0.8722392069715168,711034,440,108233,1270
Jon Pepper,Six Pepper Jo,0.8083089099961879,1074828,712,302088,49814
Daniel Penni,Blake Daniel Penning,0.7136608391166896,924642,606,298451,47693
Hiroshi Shinohara,Minami Hiroshi,0.8280274867317687,1088312,617,109691,7396
Jeff Mcinnis,Davis Jeff Glenn,0.9445465671165906,1657788,301,164499,16880
Russell Mack,Russell Mary,0.6118398358233731,1403085,345,29302,30421
Misti Ushio,Desai Usha,0.9093870523735366,1293818,478,104955,10149
Richard Muskus,Barkus Paul Richard,0.9268811481648296,1098146,241,301374,49678
James Reilly,Reilly Robert James,0.6835724061953637,1460329,356,152482,1517
Mark Kalow,Hoard Kalon Mark,0.8702670464051806,1434110,579,136302,17402
Mark Del Priore,Del Priore Michael J,0.8201184910839961,1378866,207,126665,8660
Wesley Chandler,Chan Wesley T,0.7156678386838768,1308569,479,321785,59935
G Sievert,Siegel Steven S,0.9951021591359885,1442505,792,155677,5332
Timothy Stevens,Stearns Timothy Steven,0.4998501640357677,1257006,1240,8099,47607
D Findlay,Findlay Andrew,0.8953428990102102,1566035,1208,299380,48303
Richard Buller,Fullerton Richard Beale,0.842213613858976,1421204,266,152379,9129
Munjit Johal,Dale Manjit,0.9161823964737482,1281198,632,161428,5305
Darin Silvernagle,Silver Martin S,0.885051310891523,1514732,666,106421,15087
Robert Copley Jr,Lepley Robert Alan,0.8849056692522328,1565700,669,112087,785
Tim Leissner,Risner Clarissa Leigh,0.9232063246575715,1341766,257,106607,11585
Nicholas Castaldo,Thomas Nicholas,0.8515247213852242,1341766,257,110296,4286
Richard Fitzgerald,Fitzgerald Richard Charles,0.5372682365125492,1624326,298,105466,4336
Stephen Robinson,Ronson Stephen,0.6716954853980229,1452176,497,307086,52416
Suresh Nihalani,De Run Hamish Nihal,0.954616457918182,1083446,192,151848,2005
Alfonso Cervantes,Cervantes Eric,0.9136359710902653,1499717,501,122064,5742
Jason Plotke,Plotkin Adam S,0.9050170911226953,1453420,424,106657,12307
Timothy Schatz,Schaller Timothy Matthew,0.7481598372347136,1447380,657,161004,7422
Tony Morris,Smart Anthony Morris,0.882440461288576,1553614,1180,4173,9895
Scott Lybbert,Scott Robert E,0.967565067857399,1619174,380,108978,6230
Christopher Cutchens,Kutcher Christopher A,0.6079232077457704,1430523,653,283211,15484
Edward Johnson Rd,Johnson Edward Reed,0.7983001710709434,315066,110,158716,42641
David Sargison,Jeon Sanggi David,0.9218618661762832,1409517,1335,294012,52353
Michael Sherwood,Earwood Michael Todd,0.773505102352411,886982,100,284088,44567
William Mooney,Mooney Darren William,0.7334369963887576,1106645,1309,157905,10921
Georganne Proctor,Proctor Austin,0.9698990975079237,315038,133,307457,52951
J Robert Kerrey,Berry J Robert,0.7456018346539344,1098881,621,311625,54508
Stephen West,Wescott Stephen Walter,0.8271465103427635,1553788,368,108664,10427
Robert Moore,Moore Robert Alan,0.6127254341399543,1397911,788,285967,17532
Edmundo Gonzalez,Gordon Matt Edmund,0.8825910591250242,1514682,588,104796,12778
Yuriy Goliyad,Oliyar Anastasiya,0.8805285108757391,1352010,711,109701,4288
Mark Donegan,Wynegar Mark Alan,0.8993977299283812,79958,683,112528,14629
Todd Peterson,Woloson Todd Peter,0.6826225547416748,1502966,359,162030,12659
N A Maverick Capital Advisors Lp,Maven Capital Advisors,0.729115951180932,1525209,1150,300626,49567
Casey Whalen,Whalen Sellers Casey Dow,0.8090221455224007,1404405,1202,143108,10737
Miura Global Capital,Terra Global Capital,0.6100319274166975,1385977,1316,316181,57620
Edward Neild Iv,Jordan Edward Neill,0.7961607043594314,1414641,1338,174129,12252
Michael Barnes,Man Michael Barnett,0.5901427039551203,104819,811,120899,41001
Joseph Allegra,Allegra Joseph A,0.28954256963277697,1308027,635,167680,12874
Jose Collazo,Milazzo Joseph,0.8885261178833438,1442505,792,106752,7816
N A Nuveen Investments Holdings,Nuveen Investments Holdings,0.47949176080152417,1030815,146,110687,4873
Chris Semple,Semple Christopher J,0.7053712174228489,1336185,1273,122711,4959
Mark Selawski,Brostowski Mark Alan,0.8932763445591959,1377053,764,160952,16005
Craig Nerenberg,Nerenberg Craig Brenner,0.5420368612741123,1369604,1303,313990,56337
Daniel Mckinney Sr,Mckinney Daniel Lee,0.7378365331705901,1375618,720,315545,57301
Douglas Pope,Pope Michael Douglas,0.663975359847866,104819,811,323494,61641
Darrell Fox,Fox Forest M,0.8570954414252363,1549071,1168,166510,39739
Paul Donohue,Donahue Paul Martin,0.8535684283304816,314712,722,106435,7188
Gilbert Davila,Gilbert Daniel,0.681227364239657,1359504,763,281114,4664
Kevin Cramton,,1.0,46765,681,316652,57985
Ojas Vahia,Vahia Ojas Tapan,0.6781577441656327,1576777,1279,161399,13604
James Brakke,Brakke Thomas Joel,0.9035898533479214,1106645,1309,146617,35134
Kenneth Wiedrich,Siebel Kenneth Fredrick,0.8755204498953778,1064624,611,133802,8013
Donald Prosser,Rose Donald J,0.8472228347111636,1415684,647,161493,4945
Yushan Zheng,Yu Zhan,0.6999236319956715,1388311,1212,217512,2091
Jonathan Rich,Simon Jonathan Rich,0.6440040871158434,1106645,1309,137177,5117
Steven Berman,Berman Steven Mallin,0.6407434552679203,1434667,530,156005,3432
Nazim Thawerbhoy,,1.0,52988,777,316652,57985
Amitabh Jhawar,Brar Amitabh,0.8663684254751468,1271075,251,166039,4127
David Gust,Savett David Gustin,0.6854549373923007,1566826,753,288675,17313
N A Numeric Investors, Investors,0.9210166731455253,1398505,1323,283785,35911
Steven Hackett,Garnett Steven Harry,0.8991816589394479,79958,683,299850,48949
Gilbert Wood,Wood Robert William,0.8619673498083059,885475,513,301188,49670
Joseph Simpson,Simpson Joseph Charles,0.5870798563806743,1414641,1338,108668,9622
Santosh Ragi,Santos Santiago,0.9478622972490386,1512990,1130,147129,16879
Rh Tibaut Bowman,,0.9999999999999999,1357838,569,316652,57985
David Porges,David Berge,0.8181775701527091,33213,829,169431,30921
George Lauro,George Alaina Lauren,0.6993173130030638,1325964,568,314859,56484
John Frabotta,Orrico John Sabbott,0.9710763691391336,1465214,659,113358,13071
Francesca Scarito,Barnes Francesca,0.8340618239573494,4187,688,162994,8482
Ruth Owades,Schade Ruth Nmn,0.9996699224841866,1487906,273,288223,17471
Christopher Schadel,Bade Christopher M,0.6725431877948477,1522469,307,146892,36396
Joseph Campagna,Campagna Janet Carol,0.8422281659589045,1333647,1268,110452,16012
David Lockwood,Lockwood Renee,0.6759772827912507,911583,817,310229,55888
Ned Siegel,Siegel Steven S,0.8924595457990235,924642,516,155677,5332
Benjamin Montoya,Thornton Benjamin Royal,0.6890290243280008,52988,777,283741,33888
Susan Gallagher,Gallagher Gary John,0.8622024166485194,1118847,718,301896,50121
Andrew Listerman,Sherman Andrew D,0.7692899542904269,1510247,538,114687,13305
Raymond Keane,Lane Raymond J,0.7129030806464762,1086688,1204,271032,29488
Paul Lu,Lui Paul,0.7745498049114455,904350,707,120343,53849
Philip Hartstein,Hart Philip Allen,0.8118195774653373,1366340,639,131037,2621
Enrique Salem,Kalevar Enrique Sanjiv,0.7564887955167797,1370880,799,316766,58135
Gaith Hosn,Said Hosnia,0.8502116306211455,1131633,1215,313751,55737
William Hunt,Hunter William Mill,0.6179098381484538,1057695,171,143733,9134
Patricia Summers,Summers Kevin Patrick,0.7835866870051886,52988,777,117734,2336
Herb Willer,Miller William Herbert,0.7791632464396587,1511735,663,307336,52154
Gregory Antonsen,Jensen Gregory S,0.7140044773267389,99771,684,105129,8905
Charles Engles,Engle Marvin Charles,0.7019598275984847,949428,384,165984,9641
Steven Rogers,Asel Roger Steven,0.7070825679352213,20199,438,114361,25417
Xinchuang Li,Xing Lin,0.7065517593469444,1041177,170,290189,29127
Jiayin Wang,Chen Jiayi,0.7138402424688118,1173784,187,281980,684
Lon Bell,Bell Bernice E,0.9757861310580727,949428,384,161600,12737
James Gunton,Gunton James T,0.4800746339849163,1175151,188,293614,29782
Kevin Parker,Parker Kevin David,0.6872404469575983,1580677,94,286583,16780
Yin Ho,Yin,0.6401768152313376,99771,684,321827,60287
Atticus Lowe,Lowe Ryan Atticus,0.6264052709753488,8504,702,310628,54297
Charles Rice Jr,Rice Charles,0.6790149437453505,1362703,445,113707,41958
William Thompson,Thompson William D,0.41247257456364145,1569329,505,167517,41442
Corey Mulloy,Mulloy Corey Michael,0.5674331293935582,1293818,754,315413,56827
H Thompson,Thompson John,0.8095909595703604,1315255,255,163936,14865
David Randell,Mandell David,0.7094973172904918,1404405,1202,312781,55669
Zhigang Gao,Zhang Gaobo,0.7485842339814586,1417451,813,170206,7645
Jose Fernandez,Fernandez Jose,0.5226466205259024,1502287,1103,168387,30236
Stephen Austin,Stephenson Lucien Austin,0.7039211917137097,1360214,260,167629,40721
Greg Suess,Sutton Greg Steven,0.9675196809691611,1162896,748,158229,6562
Timothy Collins,Collins Timothy,0.41244311893940133,1083743,552,146850,30791
Brian Eden,Eden Brian,0.4993351405301557,1407411,1331,160588,8512
Marco Hegyi,Hegyi James L,0.825601012239913,1074828,712,170066,13478
Robert Taglich,Taglich Robert Francis,0.723492617313014,1009891,216,29102,14059
Cherry Lu,Chen Lu,0.7556294738808892,1619174,380,322638,61009
Richard Todaro,Wood Richard Todd,0.7717791700383536,1464790,97,174102,5397
Bill Glaser,Miller Lowell Glaser,0.8617947619252547,1500904,660,105800,13082
Marc Primiani,Primiani Marc Sangree,0.7319343780925476,1172799,134,146720,1900
Todd Andersen,Henderson Todd,0.7477472348062999,1414496,802,109596,12099
Larry Thackery,Ikenberry Larry,0.9263738840749091,711034,440,117157,42165
John Slocum,Slocum Michael John,0.6509587862761012,921313,708,105307,4015
Edward Johnson D,Johnson David Edward,0.5613881586305363,315066,120,289887,47379
John Huemoeller,,1.0,1434110,579,316652,57985
Marshall Wace Llp,Marshall Wace Llp,0.0,1552909,1176,135902,15008
Daniel Hoverman,Hoover Daniel Alan,0.7851948381522813,1362703,445,289495,44917
John Hoidas,Choi John S,0.9489367008345355,1474167,584,136557,47475
Empyrean Capital Partners Lp,Empyrean Capital,0.5923115571121671,1379364,1308,138978,10854
Heather Kearns,James Heather Jean,0.8764845519865961,1553788,776,112302,13495
Robert Panora,Parnow Robert J,0.8505128931028496,1537435,365,165934,14233
Douglas Solomon,Solomon Joshua Douglas,0.6812599219524639,1534154,364,283411,14888
Antonio Perez,Hernandez Antonio Perez,0.6337870766499801,31235,439,293726,46788
William Reali,Morton William Read,0.765373252992718,102198,739,305176,51223
Ghessycka Bennett,Bennett Ghessycka Alexandria Lucien,0.7191575789992233,1339131,1276,132728,10956
Charles Ward,Warden Charles M,0.6137429365593825,1362705,1296,161130,3030
Matthew Beale,Beamer Matthew Bud,0.7494143343910074,949428,384,105143,14499
Brian Atwood,Atwood Brian G,0.4071520594088353,1293818,754,161130,3030
R Ravnaas,Ravnaas Robert,0.7182572724478831,1657788,301,284911,29138
Mark Meyers,Meyers Martin Matthew,0.8330648701328658,1083446,192,289801,28981
Timothy Marchesi,Marchesi Timothy John,0.5386518450533472,1534559,1156,145851,7129
John Deutch,Hutchinson John,0.9077142705674484,3570,541,175338,17019
Brian Tepfer,Kepfer Alan Robert,0.9408812397924678,1271075,251,116149,25975
Joseph Marconi,Marconi Joseph C,0.4532196929947451,1272848,1245,138715,11811
Ari Gendason,Crandall Ari Ben,0.999904895441702,1063537,228,285510,48439
Malcolm Lewin,Levine Malcolm Andrew,0.7640332733118023,93314,692,300823,49562
Erik Prusch,Preus Erik Robert,0.9407691629676037,1442505,792,171570,15073
Mario Solari,Solari Mario Andres,0.6767132564170754,1303308,1261,130949,7754
Jon Deong,Leong Dennis,0.8719315533570724,1160142,686,163409,4230
J Robinson,Robinson Ross,0.7572431692150438,1091540,729,320631,61312
Michael Turro,Turro Michael,0.5004529522597071,1409506,1334,285287,15762
Ted Collins Jr,Collins Terry Lee,0.9583243594578368,1657788,301,113270,42320
Kevin Maloney,Malone Michael Kevin,0.7826974548476693,1387135,343,131825,7901
Christine Jemison,Jemison Christine Louise,0.6030377880871463,1370040,1305,110039,3483
Beverly Burke,Burnett Beverly Renee,0.8364446811644639,104819,811,154405,205
Greywolf Advisors,Greywolf Gp,0.7252913039222189,1267114,1242,138715,11811
Van Parker,Varner Robert Parker,0.7988966015226711,1514183,664,14023,11013
Harry Anthony,Harris Anthony James,0.6930356220481145,1334933,403,107619,2530
Douglas Feirstein,Weinstein Douglas M,0.7165513483340364,1271075,752,284973,43736
Daniel Revers,Revers Daniel Raymond,0.7387850288912954,1513965,306,161228,4255
Wellington Alternative Investments,Lazard Alternative Investments,0.6998840440637487,1549676,1169,138674,2972
Jeff Hastings,Tong Jeff K,0.9446404874679941,1514732,666,161185,1396
Charif Souki,Souki Patrick,0.9377591353979521,3570,541,315733,58750
Robert Peabody,Carter Evan Peabody,0.8112525733046615,1572552,594,112758,9112
Jeffrey Buczek,Buck Jeffrey David,0.8924915739986785,1143238,197,322138,60527
Gary Mchenry,Mchenry Michael Carleton,0.8780105764883163,1410402,523,136594,24963
William Schonbrun,Schell William Anthony,0.9442611916031268,1347078,758,159891,22250
Scott Weeber,Leber Scott,0.780817260924829,1514682,588,108601,6838
Brett Crosby,Crosby David A,0.8446122977717206,1626475,781,307944,52302
Brett Woodard,Woodard John Bennett,0.8581634582482468,1422109,419,108199,9741
Brad Pyatt,Pyatt Jeffrey B,0.9395353721323005,1415684,647,307244,52185
Hugh Hilton,Warren Hugh L,0.9371482885196737,1464790,98,107153,1449
Jonathan Hille,Hill Jonathan Warren,0.7752662242732387,1439166,773,130099,6993
John Payne,Payne Steven John,0.768520200714291,1101026,181,164190,6567
Mary Keefe,Petry Lorian Keefe,0.8197628288380635,1521019,69,165583,38135
Anthony Branca,Branca Anthony Douglas,0.7762937108610609,1095373,221,38095,4723
Harlan Platt,Platt Daniel,0.9032181827028919,1465214,659,291106,29280
Crestline Management Lp,Crestline Management Lp,1.8250120749944284e-08,1359780,1295,126953,7418
John Sheehy,Danehy John,0.8172847189115768,728447,677,315758,58569
C Winzer,Winzeler Karl,0.9365738675916554,1293818,478,294103,46210
Yousu Lin,You,0.9301556214554123,1417451,813,317339,58601
Thomas Shaw,Anthony Thomas Shawn,0.7002718944343997,1466026,810,161784,35655
Bart Baum,Baum Bart Ethan,0.6762338828494083,1409517,1335,156400,10631
Jay Skyler,Sky ,0.70851212259816,1086688,1204,295839,46184
Andrew Gumaer,Gunderman Andrew James,0.8697835805663803,1464790,98,322904,61330
Keli Xiao,Wan Xiao,0.6523769022230369,1057695,171,291051,29541
Rebecca Hershinger,Rose Rebecca Hellerstein,0.7713186259390746,1355848,259,293620,46875
David Daley,French David Dale,0.6950282215911001,1084332,321,161623,14092
Yosbani Mendez,Hasbani Mark,0.9716786062595235,1516551,278,152714,4596
Manager Turtle Creek Asset Management,Bear Creek Asset Management,0.6467301008712738,1509222,1110,159189,5802
Vatsal Doshi,Valerosa,0.9559250867198986,1512990,1130,321952,61923
Clint Carlson,Carlson Clint Duane,0.6265012859558233,1058812,1185,118156,231
Eli Aheto,Ali Ahmad,0.9499177999296008,1554899,1187,161360,917
Gregg Steinberg,Steinberg Gregory Sean,0.7439002899318652,1118847,718,159261,6414
Laurence Schiffer,Scher Scott Laurence,0.8810180563608274,1466026,810,284932,15188
Keith Johnson,Johnson Keith David,0.6528031932576219,1519799,1142,172979,14929
Teresa Elder,Ronderos Maria Teresa,0.9112778352768698,1442505,792,282385,840
Nicholas Hines,Barnes Nicholas,0.8074035906967022,1314054,464,161742,16312
Jeff Doss,Dorr Jeff,0.8891617135360528,1423357,486,291660,29403
Two Sigma Investments Lp,Two Sigma Management,0.8076590119603778,1334508,1271,295416,47488
Derek Peterson,Peterson John Derek,0.6846798015809026,1451512,495,104948,1603
Oron Branitzky,Zaritzky Bernard,0.9407159522175674,1211805,780,288974,46445
Jean Abiteboul,,1.0,3570,541,316652,57985
Joshua Coates,Deloach Joshua P,0.8445146330334651,1355754,1292,315694,57224
Joseph Miller,Miller Joseph Michael,0.5893438303235463,1325964,568,285726,15524
W Hennington,Pennington W Lane,0.6918465743775174,1525209,1150,297897,47224
Francicso Mendez,Caro Mendez Herandi,0.9868847858022729,1516551,278,317603,58674
Brad Fretti,Conrad Brett,0.8948559058516585,1161582,331,134550,38556
David Jones,Jones Jon David,0.5539241926755941,1534154,364,108601,6838
Jennifer Foster,Foster Jennifer Leahy,0.6589197048316955,1002280,820,159306,12318
Colin Mcnay,Mcnay Colin,0.4120621228523016,1268493,1243,156770,3088
Sanjeev Gupta,Gupta Sanjay,0.8374272535355092,738214,443,318818,58881
Andy Kinard,Barkley Randy King,0.9277810943270199,1429764,727,155749,22025
N A Kayak Investment Partners Master Gp,Generative Investment Partners Gp,0.8469642722447791,1571334,1249,312473,54972
Guy Zajonc,Majors Zachary Thomas,0.9302542946746863,1392902,210,282477,36889
Timothy Hilton,Jobe Timothy Hamilton,0.7027813569682158,315066,118,163833,13319
Ronald Knopp,Knapp Ronald Heflin,0.9178749130316941,18172,760,107345,20253
Boris Ratiner,,1.0,1377053,764,316652,57985
Linda Chontos,Choi Linda,0.9266579453055824,1499501,775,153099,3916
Paul Jarman,Norman Paul M,0.782752063090225,1087934,615,307667,52574
Bertram Scott,Scott Bertram Lee,0.6083185832806172,315038,133,108477,8510
James Davidson,Davidson James,0.41629395955433335,1504937,431,157636,9400
John Coyne,Coyne John Edward,0.7752588192972216,52988,777,150516,16649
Cameron Mcrae,Mcrae Peter James,0.8513556617771603,1398972,1324,104567,648
Robert Meschi,Mesch Robert James,0.6883598005931683,1407411,1331,298098,47643
Patrick Agemian,Agemian Patrick Nmn,0.6049152710168315,1561097,1199,159937,10688
Andrew Mynheer,Beer Andrew E,0.9422418950653765,1584137,435,269882,15465
Leon Holschbach,Eschbach Lisa M,0.9289193704290554,1466026,810,127401,12955
N A Zazove Associates,Zazove Associates,0.5955611681493328,1337951,1275,104751,5861
Noel Watson,Matson Roger Noel,0.8655042491306343,52988,777,143273,35458
Naya Gp Limited,Red Kite Gp Limited,0.7929769520801968,1553872,1186,282943,3590
Dr Rolan Roberts Ii,Roberts Robert G,0.8433789510603061,811222,158,316731,58031
Laurion Capital Partners,Rotation Capital Partners,0.6384714619410744,1340766,1280,173564,7894
Balazs Fejes,Vincze Balazs,0.9883181403321113,1352010,711,297708,47330
Steve Vande Vrede,,1.0,1451512,495,316652,57985
Norm Dumbroff,,1.0,1086745,239,316652,57985
Kelvin Westbrook,Westbrook David,0.7114258298140949,720672,121,289977,28994
L Thompson Bowles,Bowler Bert Thomas,0.907747054205413,707511,672,286007,16736
Peter Benz,Franz Peter B,0.7800012160232921,1460329,356,162645,16088
Sarah Demerling,Demerling Sarah Christina,0.7068867548082396,1221485,1228,175475,9068
Penelope Markham,Penelope,0.77177915857638,1580149,288,162359,9900
Henk Hoogenkamp,Steenkamp Henri John,0.9482158544400083,1063537,228,161822,1853
David Garrison,Garrison David Max,0.6578483089526533,1537435,365,113917,3058
Edward Devereaux,Devereaux Edward Drew,0.569225925047447,1431959,578,171758,38803
Andrew Brady,Brady Andrew Stephen,0.6849502889687863,1300642,1253,315635,57164
