fund,matched_fund,fund_confidence,cik_no_fund,form_d_fund_id,crd_no_fund,form_adv_fund_id
Mink Brook Partners,Mink Brook Partners,0.0,1774802,49221,302093,49221.0
Metis,Metis Partners,0.7292931348515694,1874342,120550,163584,
Snapcard,,1.0,1624981,102703,167212,3656.0
Paragon Associates Iii,Paragon Associates And Paragon Associates Ii Joint Venture,0.5170299632435944,1629686,70581,163264,
Tewksbury Futures Fund,Tewksbury Futures Fund,0.0,1814271,83923,161202,578.0
Cypress Hedge Fundslp,Cypress Hedge Funds,0.4502405827442746,1465531,32047,288566,20861.0
Seurat Technologies,Janvest Technologies,0.6909421025512195,1676064,118202,307760,
Gcm Grosvenor Customized Infrastructure Strategies Iii,Gcm Grosvenor Customized Infrastructure Strategies Ii,0.11255682934682633,1849515,113909,169155,
Botrista Technology,Core Technology Fund,0.7535257931701176,1784083,54118,133711,12575.0
Sena Mac,Pa Mac Fund Mac  Series,0.8608726848526017,1825650,93575,105981,
Palo Alto Blockchain Cc Capital Ii,Palo Alto Blockchain & Cc Capital Ii,0.3406038671238717,1825183,90914,314045,
Ima Financial Group,Capgen Financial Group,0.7633566435884536,1673769,109397,160387,
Balanced Risk Allocation Fund Of The Invesco Institutional Trust,Invesco Institutional Trust Balanced Risk Allocation Fund,0.37111127099857166,1695330,38962,105360,105.0
Goc Fund I A Series Of Granite Oak Capital Management, Capital Management,0.9026993478633113,1849104,111439,161111,6535.0
Ot Pharma Fund Iv,Ot Pharma Fund Iv,0.0,1811328,92588,284192,
Vin  Zebra Analytix,Raine Zebra Invest,0.9573482462737365,1832366,94981,157939,5753.0
Mp Cash Liquidating Fund,Mp Cash Liquidating Fund,0.0,1862019,111801,164841,
Whistler Ultimate Parent Holdings,Pp Ultimate Holdings A,0.8000358994248422,1869997,118543,158858,
Cv Kreate Spv Iv,Cv Kreate Spv Iv,1.0536712127723509e-08,1892422,132065,309103,
Igs Construction,Bestige Construction Holdings,0.8531754316466871,1941904,166435,305343,
Peptilogics,Presight Peptilogics Invest Fund,0.7622404102711074,1663983,98625,312722,
Generation Partners Real Estate,Generation Partners Real Estate,0.0,1707244,171321,160589,
Woodbridge Capital Partners I,Woodridge Capital,0.7681400222629738,1806051,79621,282146,
Global Hospitality Investment Group, Investment Group,0.8495111455640595,1808459,80828,297561,
Freshford Fund,Freshford Fund,0.0,1470416,32167,158448,3604.0
Hound Partners Variable Beta Fund,Hound Partners Variable Beta Master,0.39789161798806755,1827433,92466,155551,2928.0
International Equity Cef Fund,International Equity Cef Fund,1.4901161193847656e-08,1504674,32796,110986,870.0
Burleson Townhome Partners,,1.0,1739105,98300,167212,3656.0
Schroder Emerging Markets Multi Sector Bond Portfolio,Schroder Emerging Markets Multi Sector Bond Portfolio,1.0536712127723509e-08,1680045,38393,105820,13343.0
Ecm Bespoke Fund Series A,Ecm Bespoke Fund Series A,0.0,1680868,53872,162975,
Bandera Offshore Value Fund,Credit Value Offshore Fund ,0.6796337312683437,1382710,30591,282125,20779.0
Deccan Value Investors Fund,Deccan Value Investors Fund,1.0536712127723509e-08,1488340,32467,158187,3745.0
Yotta Energy,Da Energy,0.9430828218054385,1762190,44029,110557,
Goldfinch Invest Ic,Goldfinch Invest Ic,0.0,1841476,100687,300919,
Jibe Ventures Qp A,Jibe Ventures Qp A,0.0,1889311,130092,311847,
K Serene Estates,Stepstone K Real Estate Investment Fund,0.9331668899155169,1945540,171218,281698,
Horizon Capital Trade Finance Domestic Fund,Sarona Trade Finance Fund,0.9250650670205474,1825453,118236,160963,
Us Real Estate Investment Fund,Aim Real Estate Investment Fund,0.5870968870479528,1379462,64657,283487,
Cu Fund I A Series Of Team Uplyft,,1.0000000000000002,1837899,98433,167212,3656.0
East Meet East,East ,0.4940103667703858,1617126,95001,160081,2402.0
Ibd Ventures Fintech Series A,Ibd Capital Ventures Series Spacex,0.7923726179456482,1833147,105573,308567,
Surratt Cosmetics,Cosmic ,0.982111951474116,1816640,86920,308528,
Liquor Lions,,0.9999999999999999,1857361,117864,167212,3656.0
Total Bitcoin Partners,Pantera Bitcoin Fund,0.8266162772454491,1877020,121575,284342,142848.0
Ibg, Ibh,0.9968683835614807,1395603,97261,160068,
Journal Partners,Journal Partners,0.0,1867594,116768,315133,
Cell Point,Polaris Point,0.9362697133208168,1440393,86730,157841,
Croatan Multifamily All Weather Fund Ii,Merion Multifamily Fund Iii,0.8367075466647188,1917676,151210,158507,
Blackstone Property Partners Europe F,Blackstone Property Partners Europe F,0.0,1721011,40635,226598,
Providence Butternut Investment,Providence Viii Titan Investment,0.9534551890528756,1831271,94281,155678,3740.0
Westriver Equity Fund I,Westriver Equity Fund I,0.0,1790813,65751,161921,107011.0
Th Fund I A Series Of Ground Control Funds,Fund I A Series Of The  Collection Funds,0.8401024010079564,1852528,107667,317863,
Ahp Investments A,Ahp Investment,0.35616396487248503,1831644,94533,143611,
Smilemd Holdings, Holdings,0.8611928787421081,1841764,101037,137388,2725.0
Special Situations Cayman Fund L P,Special Situations Cayman Fund,0.4406019479671548,882988,27013,110346,5495.0
Altera Slt Extended Stay,Altera Slt Extended Stay,0.0,1850384,107350,287467,
Marathon London Global Investment Trust I,The Marathon London Global Investment Trust I,0.32377850899610955,932361,70026,132391,
Tripoutsidecom,,1.0000000000000002,1857923,109545,167212,3656.0
Lum Fund I A Series Of Dv Deals,Lum Fund I A Series Of Dv Deals,0.0,1829376,93054,297291,
Sapere  Gold Fund Qp,Sapere  Gold Fund Qp,1.0536712127723509e-08,1825459,90814,119598,
Turbine Corporate Holdings,Pe Csec Corporate Holdings,0.8231665374217094,1733611,92122,107738,259.0
Pathway Investment Fund Cayman,Pathway Investment Fund,0.5154046218935555,1808862,80520,108016,74939.0
Fund  A Series Of Engage Venture Partners Investments,True Footage Series A A Series Of Story Ventures Series Investments,0.8170526643083682,1940890,167854,305329,
Middlefield Road Private Opportunities Fund,Middlefield Road Private Opportunities,0.16732280472309063,1873972,120113,135271,2990.0
Liv Celina Partners,Centralis Partners,0.9340823469748458,1841022,100540,305897,142181.0
Ourcrowd Investment In Pfc ,Ourcrowd Investment In Pfc ,0.0,1918954,151454,169475,
Private Equity Vii Offshore,Private Equity Core Fund Qp Vii Offshore,0.550487556148684,1817003,86694,174762,141957.0
Engrain Technology,Energy Technology Fund I,0.730566324015693,1781841,52932,169786,
Dakota Financial,Dakota Pacific I,0.8406447523207463,1883495,126964,288781,
Infinite Alpha Opportunistic Fund I,Infinite Alpha Opportunistic Fund I,0.0,1471124,88933,147190,
Gaingels Iris,Gaingels Clara,0.8277568448761256,1933112,164840,317099,
Stratford Coinvest,Stretford End A,0.9065649827591988,1825808,91167,313250,
G Capital Fund,G Capital Fund,0.0,1765041,44396,299078,
Strategic Developed Markets Ex Us Equity Trust,Strategic Developed Markets Ex Us Equity Trust,0.0,932319,27478,104862,36.0
Pvp Seed Fund,Pvp Seed Fund,1.8250120749944284e-08,1845687,104822,162628,
Highclere International Investors Smid Fund,Highclere International Investors Smid Fund,1.4901161193847656e-08,1456980,31742,140380,
Xo Fund I A Series Of Roll Up Vehicles,Po Fund I A Series Of Xoogler Syndicate,0.9965350779270858,1893480,132483,316154,
Sprucegrove: Non Us Equity,Sprucegrove Group Trust: Sprucegrove Us International Pooled Fund,0.9175149795255362,1359239,30297,106355,3035.0
Curebase,Cure Ventures I,0.9961210796613685,1757561,118223,300866,
Bt Ames Student Housing Dst,Frp Student Housing A,0.862079001679208,1950168,171466,285982,
Cl Fund I A Series Of Evolution Vc Funds,Evolution Fund I,0.7848433432515713,1834562,96204,299614,
Applova, App,0.9652095238702597,1949314,171790,160068,
Hydra Host,Hydra Partners,0.6895055516600093,1847209,104904,175453,5653.0
Petrus Advisers Investments,Proquest Investments Ii Advisors Fund,0.930316390073473,1713063,40161,158199,
Adit Growth Equity Invest Series Esme ,Adit Growth Equity Invest Series Esme ,1.0536712127723509e-08,1857957,111917,283262,
Rcp Sof Iii Overage Fund,Rcp Sof Iii Overage Fund,0.0,1823829,89806,289963,
Resolute V,Resolute V,0.0,1884749,126980,167636,
Wheeler Bio,Wheeler Farms Partners,0.9826313509149841,1895358,133529,281845,
Stg Vi A,Stg Vi A,0.0,1817281,91100,291048,
Blockfi Ether Trust,,1.0,1850800,106555,167212,3656.0
Joseph Stone Special Opportunity Fund Series Q,Sp Special Opportunity Fund Series A,0.7762522806904373,1841839,101711,157659,6990.0
Cypress Real Estate Funds,Cypress Real Estate Funds,1.4901161193847656e-08,1465495,32044,288566,20861.0
Aj Fund I A Series Of Sajid Rahman Angel Funds,Aj Fund I A Series Of Sajid Rahman Angel Funds,0.0,1871939,118125,311027,
True Vc Series ,True Vc Series ,0.0,1856857,114818,142962,
Invesco Fixed Income Trust Blackrock Core Fixed Income Fund,Invesco Fixed Income Trust Core Fixed Income Fund,0.4307100939573228,1772244,47762,105360,105.0
Palmetto Catastrophe Fund,Palmetto Catastrophe Master Fund,0.38021254701930485,1449123,70563,132780,
La Fund I A Series Of Outbound Capital Ventures,Fund I A Series Of Outside Venture Capital,0.7383429198872024,1893633,132512,322144,
Shoreline Biome,Shoreline Iii Investment,0.9329813616518038,1664615,55004,161466,
Techwomen Invest,Ranchwood Investment Fund I,0.9044836973584036,1925328,155944,288155,
Bidpal,Adp I,0.9928503134434029,1531341,99569,160177,
Horizon Malibu,Horizon Vc,0.8468925643831642,1830546,93872,319256,
Fiscalnote Intermediate Holdco,Xc Fiscalnote A,0.9063676451112845,1802971,96668,293460,
Nanoview Diagnostics,Selfie Diagnostics,0.8318363872218942,1754605,95956,311753,
Wild Blue Partners,Bluecross Blueshield Venture Partners,0.8486667027761827,1640135,72354,163451,
Legal General Msci Acwi Ex Usa Fund,Legal & General Msci Acwi Ex Usa Fund,0.31782386271189583,1709362,39890,149156,768.0
Climate Venture Capital A,Climate Venture Capital A,1.4901161193847656e-08,1839625,99880,297291,
Qunnect,,1.0,1841602,100791,167212,3656.0
Hi Tech Systems,Pe Systems Investors,0.9075283324856585,1869860,117601,283533,
Tpg Tech Adjacencies Ii Garfield Ci,Tpg Tech Adjacencies Ii,0.5606958911681056,1875337,120706,159738,454.0
Kandui Holdings, Holdings,0.7757128366063711,1829408,94196,137388,2725.0
Aurcana Silver,Cca Silver,0.8460847968107614,1507713,56936,165403,
Mo Fund I A Series Of Henry Collective Ventures,Mo Fund I A Series Of Henry Collective Ventures,1.4901161193847656e-08,1886558,127660,319231,
Bo Fund I A Series Of Roll Up Vehicles,Bo Fund I A Series Of Fin,0.9349871342665468,1899560,136147,161526,
Hs Investments Eu,Hs Investments Eu Limited,0.6615623494911983,1817967,86515,297025,
Coelius Capital Rolling Fund A,Coelius Capital Ii,0.6651944261024267,1829491,93080,317422,
American Social Boca Raton,,1.0,1836587,97563,167212,3656.0
Smp Townsend Reit,Townsend Real Estate Fund,0.8870338887129436,1908444,144023,160006,74781.0
Nb Income Plus Fund,Jcr Income Plus Fund Iv,0.8724298535461706,1438742,31449,165022,
First Business Financial Services,Calvin Financial Services,0.7705166559550563,1521951,4839,321099,
Mvp Ls Fund Cclxxix,Mvp Ls Fund Cclxxix,0.0,1852299,107391,163660,
Ldm Investments Az,R Investments Ldc,0.919612909548899,1824688,91128,111333,2621.0
Swift Medical,Swiftarc Fund,0.815774576373093,1732413,117819,164310,
Cascara Capital,Itasca Capital Partners,0.7973424855002439,1666711,164813,108417,922.0
Hc Ncbr Fund,Hc Ncbr Fund,0.0,1641723,68432,107105,246.0
Mcm Stacked Series A A Series Of Motivate Capital Management Master, Spv Series A Series Of  Degree Capital Management,0.8454833746459387,1880901,127712,309142,
Denton Policies,Destin Policies,0.6077001860096103,1886517,127649,306905,
Giza V Continuation Fund,Sentinel Continuation Fund I,0.8265760907242211,1836736,98691,160474,
Investor Advisor Seed Ventures I,Link Ventures Advisors Fund ,0.8466211927818071,1859762,119453,286523,
Ou Fund I A Series Of Not Boring Ventures,Ou Fund I A Series Of Not Boring Ventures,1.4901161193847656e-08,1838751,99134,315644,
Eyeland Rs Partners,Third Eye Capital Partners,0.9141358266084193,1760137,55340,287819,
Dub Diversified,Forester Diversified,0.8440039313309223,1809247,80759,160806,
Liquid Assets Portfolio A Series Of Northern Institutional Funds,Mount Vernon Liquid Assets Portfolio,0.8351106053837511,1460047,31862,111912,8310.0
Cyren,Cyr Fund,0.5132485930891959,1084577,28299,136713,2774.0
Quantum Aurea Fund I,Quantum Aurea Fund I,0.0,1848610,110334,313206,
Series Fund J A Series Of Mx Pre Ipo Portfolio Fund I,Series Fund J A Series Of Mx Pre Ipo Portfolio Fund I,2.1073424255447017e-08,1874833,120568,285614,
Lu Gaingels Fund Ii A Series Of Zachary Ginsburg Funds,Lu Gaingels Fund Ii A Series Of Zachary Ginsburg Funds,0.0,1875362,120726,298061,
Eagle Harbor Multi Strategy Fund,Eagle Harbor Multi Strategy Fund,0.0,1822162,88998,136591,35353.0
New Value Roots Holdings,Value Holdings,0.7768427780770029,1836552,97561,157676,6395.0
High Haith Partners,High Haith Partners,0.0,1547120,33822,226715,142001.0
Invesco Small Cap Growth Fund,Invesco Small Cap Growth Fund,1.4901161193847656e-08,1544131,33712,105360,105.0
Renibus Jaret,Cibus Fund,0.9498274406318039,1894799,135817,289441,
Ofw Low Beta,Ofw Low Beta,0.0,1740558,87789,170909,11927.0
Bitvore,Aitv Big Data,0.996987853868496,1605954,74114,170302,
Gt Offshore Fund,Gt Offshore Fund Class A,0.5765490674205361,1461075,31930,109319,
Rm Rrp Cheyenne,Cheyenne Capital Fund,0.9211444526674528,1878745,122772,160345,
Specialized Multifamily Partners Us Fund I,Dome Us Multifamily Fund I,0.8023619873532502,1769240,46127,159102,
Vangold Resources,Ma Resources Fund ,0.8351590529068557,865400,99975,106300,12052.0
Numerai Gp,Numerai One Master,0.8195072485069679,1668527,55005,282851,
Prospect Mold Aggregator,Prospect Mold Aggregator,0.0,1818304,86394,300645,
Malta Market Neutral Master Fund,Malta Market Neutral Master Fund,0.0,1748287,43104,138175,50.0
Trill Impact No Scsp,Trill Impact No  Scsp,0.217988736154081,1781088,52524,313309,
Velocity Waterloo Incubator A,Velocity Waterloo Incubator A,0.0,1918566,151415,320631,
Avgsf Recount ,Avgsf Recount ,1.4901161193847656e-08,1872035,118148,170562,
Lake Street Software, Software Fund,0.6943452100173115,1871322,118015,298029,
Stamp Free,,1.0,1844067,104057,167212,3656.0
Prisma Focus Fund,Prisma Focus Fund,0.0,1507909,60021,131467,13082.0
Sh Fund I A Series Of Array Ventures Parallel Funds,Fund I A Series Of  Ventures,0.8408788389643072,1826540,91273,315660,
Apa High Income Opportunity Fund,Apa High Income Opportunity Fund,0.0,1465229,32040,106741,
Sharon Club,Cl Shared,0.8929605728978544,1819478,89932,122711,4559.0
Ni Fund I A Series Of Sunflower Venture Funds,Fund I A Series Of  Ventures,0.8630097491195828,1885614,127188,315660,
People Power,Awesome People I A Series Of Awesome People Alts,0.8522957750817006,1475437,108703,306829,
Rk Coda Dst,Rk Capital Partners,0.9807866086046518,1825101,92328,314175,
An Fund Ii A Series Of First Check Ventures,First In Ventures Fund I,0.8617112635788,1900253,136626,314757,
Revivermx,,1.0,1548089,33854,167212,3656.0
Counslr,Wslr,0.864339662785077,1919805,159022,282903,
Zestlife,Sightlife I,0.9539572982924099,1869497,118496,288899,
Bay Point Capital Partners,Bay Point Capital Partners,0.0,1569080,34410,286050,142069.0
Dataminr Spv A Series Of Goalvest Master ,Dataminr Spv A Series Of Goalvest Master ,0.0,1885895,132375,285374,101325.0
Blumberg Capital Opportunity Fund Ek,Blumberg Capital Opportunity Fund Ek,0.0,1882240,126054,163230,
Terrafarma,Terraform Capital Fund,0.8921044609186414,1774994,49319,314870,
Investx Series   Limited Partnership,Investx Series   Limited Partnership,0.0,1828936,92958,305400,
Nrl Somerville Qof,Tocqueville Qof  ,0.9946944271395219,1798046,70632,105690,643.0
New Era Investors,Acon New Era Investors I,0.5362500867676965,1823041,92168,159517,11232.0
National Resilience,Lar Resilience,0.8295140015303154,1834819,99220,157006,
Casablanca Technologies,Janvest Technologies,0.8144247246982986,1848540,105507,307760,
Nootools Health,Vator  Healthloop,0.9626668475183957,1918323,155050,282286,
Jwcm Heights West Dst,,0.9999999999999999,1940976,168520,167212,3656.0
Hh Fund I,Fund Hh,0.5810581614728944,1824481,90084,160489,
Sonermed,,1.0,1818836,86791,167212,3656.0
Cleo Labs,Av Labs,0.8981345738106926,1723292,40756,160118,7632.0
Ins Fund I A Series Of Ax Rn Funds,Ins Fund I A Series Of Ax Rn Funds,0.0,1834700,96300,304302,
Truebridge Seed Micro Vc Fund I,Truebridge Seed & Micro Vc Fund I,0.3754649763326635,1816216,87145,155425,
Squarepoint Atlas International Feeder,Squarepoint Atlas Master Fund Limited,0.8128232305798275,1793804,64859,172116,4959.0
Hennessy Capital Growth Partners Fund I,Hennessy Capital Growth Partners Fund I,0.0,1886541,129541,317385,
Access Holdings Fund Ii,Access Holdings Fund Ii,0.0,1896260,136229,297197,
Freestone Fab Repair Partners,Freestone Capital Partners,0.9334420083869599,1837942,98451,145711,12996.0
Prairie Capital Vii,Prairie Capital Vii,0.0,1850074,108593,155566,
Newview Capital Fund Ii,Newview Capital Fund Ii,2.1073424255447017e-08,1820599,91113,298161,146019.0
Jay Desai Holdings I Ii, Holdings Ii,0.8441054704163748,1904546,143323,162351,
Pimco Corporate Opportunities Fund Iii Te Feeder,Pimco Corporate Opportunities Fund Iii Te Feeder,0.0,1806288,79895,104559,69.0
Manus Biosynthesis,,1.0,1686230,94138,167212,3656.0
Icapital Carlyle Property Investors Access Fund,Icapital Carlyle Property Investors Access Fund,0.0,1695587,76760,177513,
Crossgates  Capital,Cross Creek Capital,0.9205200735341301,1917818,151223,165803,147396.0
Bf Jv,  St Jv,0.9014381743849867,1879232,124398,313632,
Helicoid Industries,Mana Industries Fund I,0.9435677613152963,1823648,90895,322932,
Volpe Capital Fund,Vol Capital,0.6155617597204621,1852685,107946,292617,
Maui Greens,Fund Green,0.9311927241000707,1776961,50337,161680,
Fund Fg Onj A Series Of Forge Investments,Fg Onj A Series Of Forge Investments,0.1760642966413246,1728390,41087,284722,
Kontiki Long Only Onshore Fund,Kontiki Long Only Onshore Fund,0.0,1809546,81554,324588,
Sustainable Beverage Technologies,Janvest Technologies B,0.8973384876874716,1484286,84349,307760,
Kovitz Diversified Real Estate Fund,Fiera Diversified Real Estate Fund,0.7832146045943392,1760196,92789,113638,6811.0
Brads Raw Chips,Chips Fund Iii,0.9901926430605227,1828463,92534,165442,
Akumina,,1.0,1611418,150738,167212,3656.0
Strawberry Creek Ventures Fund Q,Strawberry Creek Ventures Fund Q,0.0,1879813,124126,170562,
Armadillo Litigation Funding Partners,Armadillo Litigation Funding Partners,2.1073424255447017e-08,1862989,127689,310764,
Alaof V Nld,Alaof V Nld,0.0,1794469,65803,161535,
Forestline Partners,Forestline Partners,1.8250120749944284e-08,1687120,61395,285732,
Tinyseed Fund  Emea,Tinyseed Fund  Emea,1.4901161193847656e-08,1925310,156088,304144,
Net Return Fund,Net Return Fund,0.0,1364017,70844,159895,7591.0
Id Fund I A Series Of Soma Funds,Pr Fund I A Series Of Soma Funds,0.5058545620972966,1837668,98118,311804,
  Equity Fund, Equity Fund,0.4011193936380283,1837233,97786,159492,
Renaissance Institutional Diversified Global Equities Offshore Fund,Global Private Equity Institutional Investors V Offshore Special,0.8357434467021521,1771065,47113,107038,55.0
Dnx Technology Partners Annex Ii,Via Seed Technology Partners Ii,0.8866657654123903,1837087,97771,160002,
Eratz Investments,Stutz Investment Partners,0.8302276690725362,1456322,31716,169653,
Gaingels Ursa Major,,1.0000000000000002,1941193,172555,167212,3656.0
Evercast,Everest,0.8045965312367696,1817108,92802,162487,
Mpower Technology,Core Technology Fund,0.7721241206007384,1708817,62863,133711,12575.0
Dreavent  Ii,Dreavent  A Series Of Dreavent Master,0.607679130390669,1941648,169075,317637,
Application Of Nothing,Application A,0.7841964705643529,1836663,99035,301196,
Crown Shamrock # Joint Venture,Fund # ,0.9643888052436386,1852881,107559,297448,
Karlov Street Terravet,Karlov Street Terravet,1.4901161193847656e-08,1842642,102348,288910,
Series Fund L A Series Of Mx Pre Ipo Portfolio Fund I,Series Fund L A Series Of Mx Pre Ipo Portfolio Fund I,0.0,1914388,148746,285614,
Retrotope,,1.0,1607677,35635,167212,3656.0
Harbourvest Partners Investment Fund Vi,Harbourvest Partners Investment Fund Vi,0.0,1849602,108230,109846,4037.0
Ecor Capital Fund Qualified,Ecor Capital Fund Qualified,2.1073424255447017e-08,1598292,35290,167121,496.0
Renew,Story Renew,0.8454419529182505,1917913,151060,300651,
Accent Holdings,Access Holdings Fund I,0.5830228832467862,1789967,60597,297197,
Havens Partners,Has Partners Fund,0.8078543206179353,1010781,27715,124687,11539.0
Coatue Growth Fund V Private Investors,Coatue Growth Fund Iv Private Investors Offshore,0.609975086888492,1871623,118067,173927,
Pimco Global Credit Opportunity Employee Onshore Fund,Pimco Global Credit Opportunity Employee Onshore Fund,0.0,1571718,72072,104559,69.0
Icapital Mlp Fund,Icapital Mlp Fund,1.4901161193847656e-08,1690236,65078,177513,
Aurelius Capital Partners Ii,Aurelius Capital Master,0.6308096784124996,1620483,36068,157325,4256.0
Virtual Event Place,,1.0,1834609,96464,167212,3656.0
Roots Productions,Mapleseed Productions,0.8607516748141295,1852547,108249,315118,
Somar Global,Soma,0.8710913367696745,1690674,68440,168741,13596.0
Aires Medical,Medical Credit Fund,0.8760363501752986,1834977,96606,299283,
Tribe Crypto Capital I Series ,Tribe Crypto Fund I,0.6029809880206856,1924176,155926,304697,
Mcg Orlando Storage Investors,Hap Orlando Investors,0.7999517723187587,1874045,120811,157865,
Top Tier Venture Velocity Fund ,Top Tier Venture Velocity Fund ,0.0,1820151,88203,144546,
Rf Invest Fund I,Rf Invest Fund I,0.0,1841809,100808,314984,
Equity Life Settlements,Norcal Life Settlements Fund,0.7006109905721122,1819901,87386,152947,82942.0
Interline Therapeutics,Gmag Therapeutics Fund,0.8019570147786617,1844239,102617,313456,
Fireweed Fund Ii, Fir,0.9796517919615242,1937009,165027,160068,
Margaux Resources,Lascaux Resource Capital Fund I,0.8136725990296758,1819299,87025,168330,
Black Dragon Capital Fund I,Black Dragon Capital Fund I,0.0,1774754,57791,312404,
Nexus Series B,Nexus Ventures Iv,0.7431968164277744,1702381,39401,162763,
Main Oak  Fund Gp,Oak Mountain Fund,0.8644770719766012,1859477,110281,168087,
Everest Point Hope,Everest,0.9522876578812015,1931204,159246,162487,
Apogee Minerals,Apogee Fund,0.7921816594358163,1884921,126698,132493,
Marketx Byjus Fund I A Series Of Marketx Ventures,Marketx Ventures,0.6891553887485299,1950951,172294,284476,
Ju Fund I A Series Of First Check Ventures,Fund I A Series Of Mu Ventures,0.8242301758356602,1860842,111037,323087,
Pixvana,,1.0000000000000002,1660897,96796,167212,3656.0
True Grit Resources,Greenstone Resources,0.854759196022233,1726317,91711,283179,
Intelequity,Wisequity V,0.9055508192061376,1857257,108969,283977,
Uncommon Giving,Uncommon Vc A,0.8311873941338304,1757190,60681,321607,
Vcp Automation Anywhere Series ,Vcp Automation Anywhere Series ,0.0,1875956,121084,308509,
Bridge Angel Investors Vii Kinotek,Angeleno Investors Iii,0.9463924643793066,1884069,127430,159677,149643.0
Series Fund H A Series Of Mx Pre Ipo Portfolio Fund I,Series Fund H A Series Of Mx Pre Ipo Portfolio Fund I,0.0,1868783,116976,285614,
Carnrite Ventures Fund I,Carnrite Ventures Fund I,0.0,1824095,90450,311545,
Collaborative Sustainable Solutions,Collaborative Sustainable Solutions,0.0,1896797,136234,167366,
Ra Fund Iii A Series Of Draft Ventures Opportunities,Ra Fund I A Series Of Draft Ventures Opportunities,0.27895134649789977,1873663,119706,305005,
Woburn  Property Holdings,Property Holdings,0.7103539871630036,1950458,172177,157216,
Aeb Capital Partners,Aeb Capital Partners,0.0,1537538,117790,159488,33542.0
Inomin Mines,Palomino Fund,0.9425224186395635,1697838,124351,132306,2161.0
Global Renewable Power Fund Iii Employee Fund A,Global Renewable Power Fund Ii A,0.6110895521615362,1847632,104967,107105,246.0
Monster Holdings Group,Am Group Holdings,0.7186129610485392,1880966,124420,165478,
Crescendo Luxembourg Sa Rl,Libra Luxembourg Sa Rl,0.6643144704301588,1816480,85672,163453,
Vepf Viii Invest  A,Vepf Vii Invest  A,0.20790739379914874,1948132,171896,156973,4440.0
Goldenrod Rv Park,Goldenrod Capital Partners,0.8276891452639394,1728541,107742,298448,
Ta Fund I A Series Of Roll Up Vehicles,Vehicle A,0.972319411094537,1912172,156016,314399,
Segall Bryant Hamill Private Opportunities Fund ,Segall Bryant & Hamill Private Opportunities Fund ,0.333668475115321,1827395,91983,106505,728.0
Pp Fund I A Series Of Hanfield Ventures,Fund I A Series Of  Ventures,0.8013686058500525,1827780,92087,315660,
Frontrange Accesso Invest,Frontrange Accesso Invest,0.0,1891503,132224,162388,
Indigo Digital Asset Fund,Digital Asset Fund,0.584673029697323,1927680,159339,321952,
Nam Fund I A Series Of Toy Ventures Al Syndicate,Du Fund I A Series Of Toy Ventures Al Syndicate,0.5250881972284364,1840399,100099,315936,
Eve  A Series Of Sax Capital Series Fund Iii,Pat  A Series Of Sax Capital Series Fund Iii,0.40098458319454316,1912812,158824,288220,
Percent Pledge Labs,,1.0000000000000002,1754606,102305,167212,3656.0
Boardman Bay Onshore,Boardman Bay Master,0.6776854019865836,1553130,34004,164577,5271.0
Stockbridge Value Fund Iv Holdings,Stockbridge Value Fund Iv,0.5206620287543314,1840414,100463,156093,
Vymedic,Vy Fund I,0.8130538217552239,1824940,90906,171769,
Rc Partners,Rc Partners,0.0,1826173,91196,311262,
Garageskins,Glieski,0.902733429267838,1714911,97661,163653,
Palogic Value Fund,Palogic Value Fund,0.0,1387846,30676,155133,33481.0
