,form_d_fund_id,cik_no_fund,fund,form_adv_fund_id,crd_no_fund,matched_fund,fund_confidence,form_adv_firm_id,crd_no_firm,matched_firm,firm_confidence,related_partners,direct_owners_firm,owners_firm_ratio,direct_owners_fund,owners_fund_ratio
72,31033,1413378,Viking Global Equities Ii,227.0,132272,Viking Global Equities Ii,0.0,227.0,132272,Viking Global Investors,0.761,Viking Global Performance,Viking Global Partners,0.766,Viking Global Partners,0.766
73,31033,1413378,Viking Global Equities Ii,227.0,132272,Viking Global Equities Ii,0.0,227.0,132272,Viking Global Investors,0.761,O Halvorsen,Halvorsen Ole Andreas,0.562,Halvorsen Ole Andreas,0.562
74,28066,1053517,Peconic Grenadier Fund,2878.0,108857,Peconic Grenadier Fund,0.0,7218.0,138857,Peconic Management,0.906,William Harnisch,,0.0,Harnisch William Francis,0.6
75,28066,1053517,Peconic Grenadier Fund,2878.0,108857,Peconic Grenadier Fund,0.0,7218.0,138857,Peconic Management,0.906,Wook Lee,,0.0,Lee Wook Nmn,0.5
76,31033,1413378,Viking Global Equities Ii,227.0,132272,Viking Global Equities Ii,0.0,227.0,132272,Viking Global Investors,0.761,Viking Global Investors Lp,Viking Global Partners,0.75,Viking Global Partners,0.75
77,31033,1413378,Viking Global Equities Ii,227.0,132272,Viking Global Equities Ii,0.0,227.0,132272,Viking Global Investors,0.761,David Ott,Ott David Christopher,0.467,Ott David Christopher,0.467
78,30667,1387214,Brigade Leveraged Capital Structures Fund,3183.0,144078,Brigade Leveraged Capital Structures Fund,0.0,,262788,Structure Capital Management,0.911,Brigade Capital Gp,Walsh Michael Andrew,0.316,Brigade Capital Management Gp,0.766
79,30667,1387214,Brigade Leveraged Capital Structures Fund,3183.0,144078,Brigade Leveraged Capital Structures Fund,0.0,,262788,Structure Capital Management,0.911,Brigade Capital Management Lp,Walsh Michael Andrew,0.327,Brigade Capital Management Gp,0.966
80,29520,1283074,Two Sigma Eclipse Us Fund,13512.0,137137,Two Sigma Eclipse Us Fund,0.0,159.0,152254,Two Sigma Advisers,0.892,Two Sigma Investments Lp,Two Sigma Management,0.727,Two Sigma Management,0.727
81,29520,1283074,Two Sigma Eclipse Us Fund,13512.0,137137,Two Sigma Eclipse Us Fund,0.0,159.0,152254,Two Sigma Advisers,0.892,Two Sigma Principals,Two Sigma Management,0.6,Two Sigma Management,0.6
82,31201,1423791,Horizon Credit Opportunities Offshore Fund,6554.0,106096,Horizon Credit Opportunities Offshore Fund,0.0,,301414,Bregal Sagemount Credit Opportunities Fund Ii O Gp,0.883,Peter Doyle,Cofra Jersey Limited,0.258,Doyle Peter Brendan,0.467
83,30266,1356811,Stieven Financial Investors,3467.0,136106,Stieven Financial Investors,0.0,,109180,Investors Financial,0.743,Stieven Capital Advisors Lp,,0.0,Stieven Capital Advisors Gp,0.963
84,31111,1418745,Teton Capital Partners,3380.0,141112,Teton Capital Partners,0.0,31111.0,131293,Teton Capital Partners,0.0,Quincy Lee,,0.0,Lee Quincy James,0.615
85,31201,1423791,Horizon Credit Opportunities Offshore Fund,6554.0,106096,Horizon Credit Opportunities Offshore Fund,0.0,,301414,Bregal Sagemount Credit Opportunities Fund Ii O Gp,0.883,Jay Kesslen,Riley Michelle Suzanne,0.364,Kesslen Jay Harris,0.483
86,31201,1423791,Horizon Credit Opportunities Offshore Fund,6554.0,106096,Horizon Credit Opportunities Offshore Fund,0.0,,301414,Bregal Sagemount Credit Opportunities Fund Ii O Gp,0.883,Murray Stahl,Cofra Jersey Limited,0.312,Stahl Murray,0.5
87,31201,1423791,Horizon Credit Opportunities Offshore Fund,6554.0,106096,Horizon Credit Opportunities Offshore Fund,0.0,,301414,Bregal Sagemount Credit Opportunities Fund Ii O Gp,0.883,Steven Bregman,Bubod Elena Dinamling,0.286,Bregman Steven,0.5
88,27677,1006871,North River Partners,142001.0,226715,North River Partners,0.0,,304921,North Partners,0.62,Wellington Alternative Investments,Stoddart William Morrow,0.211,Wellington Management Funds Holdings Llp,0.514
89,33165,1519799,Schf Cayman,8112.0,157389,Schf Cayman,0.0,8112.0,157389,Schf Gpe,0.87,Irwin Gross,Gross Irwin Robert,0.483,Gross Irwin Robert,0.483
90,29692,1300758,Cmwa Emerging Markets Partnership,,119467,Cmwa Emerging Markets Partnership,0.0,,151376,Emerging Capital Partners,0.936,Douglas Smorag,Doddy Hurley Herman,0.424,Smorag Douglas John,0.545
91,29692,1300758,Cmwa Emerging Markets Partnership,,119467,Cmwa Emerging Markets Partnership,0.0,,151376,Emerging Capital Partners,0.936,Cynthia Koury,Jansa Michael Leonard,0.353,Koury Cynthia Gardner,0.529
92,29692,1300758,Cmwa Emerging Markets Partnership,,119467,Cmwa Emerging Markets Partnership,0.0,,151376,Emerging Capital Partners,0.936,James Wert,Jansa Michael Leonard,0.387,Wert James William,0.5
93,33165,1519799,Schf Cayman,8112.0,157389,Schf Cayman,0.0,8112.0,157389,Schf Gpe,0.87,Keith Johnson,Johnson Keith Bryon,0.5,Johnson Keith Bryon,0.5
94,33165,1519799,Schf Cayman,8112.0,157389,Schf Cayman,0.0,8112.0,157389,Schf Gpe,0.87,N A Schf Gpe,Osc Schf Holdings,0.414,Osc Schf Holdings,0.414
95,33165,1519799,Schf Cayman,8112.0,157389,Schf Cayman,0.0,8112.0,157389,Schf Gpe,0.87,Kevin Kelly,Cheng Kelly Belinda,0.533,Cheng Kelly Belinda,0.533
96,27677,1006871,North River Partners,142001.0,226715,North River Partners,0.0,,304921,North Partners,0.62,Wellington Management Company Llp,Stoddart William Morrow,0.286,Wellington Management Funds Holdings Llp,0.767
97,27677,1006871,North River Partners,142001.0,226715,North River Partners,0.0,,304921,North Partners,0.62,Wellington Management Investment,Stoddart William Morrow,0.255,Wellington Management Funds Holdings Llp,0.694
98,30934,1407091,Strategic Global Balanced Institutional Trust I,36.0,104862,Strategic Global Balanced Institutional Trust I,0.0,62735.0,175300,Global Strategic Investment Solutions,0.84,Stephen Mandella,Thompson Curt Randall,0.432,Mandella Stephen Warren,0.513
99,31201,1423791,Horizon Credit Opportunities Offshore Fund,6554.0,106096,Horizon Credit Opportunities Offshore Fund,0.0,,301414,Bregal Sagemount Credit Opportunities Fund Ii O Gp,0.883,Hugh Ross,Hammill John Nmn,0.24,Ross Hugh Michael,0.385
100,29712,1302309,Strategic Funds Spc,36.0,104862,Strategic Funds Spc,0.0,,152717,Strategic Investing Funds,0.787,Brian Murdock,,0.0,Murdock Brian Andrew,0.424
101,33088,1517233,Zca Long Short Strategy,3572.0,146607,Zca Long Short Strategy,0.0,6899.0,153632,Long Short Advisors,0.963,Zeke Capital Advisors,Bubeck Kelly Melissa,0.39,Jenkins Rosenthal Kimberly Jessiah,0.364
102,32421,1486375,Prism Amber Fund,,147911,Prism Amber Fund,0.0,,147911,Prism Funds,0.762,Richard Simkus,Simkus Richard Victor,0.514,Simkus Richard Victor,0.514
103,30119,1342221,Microlam Partners,3147.0,136245,Microlam Partners,0.0,,163660,Microangel Partners,0.77,Lapides Asset Management,Clark William Michael,0.267,Pellegrino Francis Antoinette,0.34
104,29712,1302309,Strategic Funds Spc,36.0,104862,Strategic Funds Spc,0.0,,152717,Strategic Investing Funds,0.787,Michael Mcdonald,,0.0,Mcnair Gordon,0.483
105,29712,1302309,Strategic Funds Spc,36.0,104862,Strategic Funds Spc,0.0,,152717,Strategic Investing Funds,0.787,Eric Andersen,,0.0,Murdock Brian Andrew,0.485
106,29712,1302309,Strategic Funds Spc,36.0,104862,Strategic Funds Spc,0.0,,152717,Strategic Investing Funds,0.787,Kenneth Grossfield,,0.0,Grossfield Kenneth Ian,0.5
107,30034,1334508,Two Sigma Eclipse Cayman Fund,13512.0,137137,Two Sigma Eclipse Cayman Fund,0.0,159.0,152254,Two Sigma Advisers,0.882,James Keyes,Ramakrishna Satish,0.345,Ramakrishna Satish,0.345
108,30034,1334508,Two Sigma Eclipse Cayman Fund,13512.0,137137,Two Sigma Eclipse Cayman Fund,0.0,159.0,152254,Two Sigma Advisers,0.882,Ian Pilgrim,Schoppner Dawn Marie,0.323,Hitchon Jonathan William,0.4
109,30034,1334508,Two Sigma Eclipse Cayman Fund,13512.0,137137,Two Sigma Eclipse Cayman Fund,0.0,159.0,152254,Two Sigma Advisers,0.882,Two Sigma Investments Lp,Two Sigma Management,0.727,Two Sigma Management,0.727
110,34435,1569790,Cyrus Select Opportunities Master Fund,2774.0,136713,Cyrus Select Opportunities Master Fund,0.0,,309665,Jes Special Opportunities Venture Fund Gp,0.908,Tim Woolaver,Howitt Stuart Alta,0.267,Tavakolian Hooman David,0.4
111,34435,1569790,Cyrus Select Opportunities Master Fund,2774.0,136713,Cyrus Select Opportunities Master Fund,0.0,,309665,Jes Special Opportunities Venture Fund Gp,0.908,N A Cyrus Capital Partners Lp,Smerling Financial Group,0.34,Cyrus Capital Partners Gp,0.889
112,34435,1569790,Cyrus Select Opportunities Master Fund,2774.0,136713,Cyrus Select Opportunities Master Fund,0.0,,309665,Jes Special Opportunities Venture Fund Gp,0.908,Martin Lang,Sacon Lionel,0.435,Tavakolian Hooman David,0.353
113,44294,1764463,Trend Discovery Spv I,,170082,Trend Discovery Spv I,0.0,,170082,Trend Discovery Capital Management,0.8,Trend Discovery Capital Management,Trend Discovery Holdings,0.655,Trend Discovery Holdings,0.655
114,30629,1384978,Lyrical Multi Manager Fund,13214.0,158131,Lyrical Multi Manager Fund,0.0,,108022,Multi Fund Management,0.797,Jeffrey Keswin,Handmaker David Sidney,0.278,Keswin Jeffrey Alan,0.545
115,30629,1384978,Lyrical Multi Manager Fund,13214.0,158131,Lyrical Multi Manager Fund,0.0,,108022,Multi Fund Management,0.797,N A Lyrical Multi Manager Gp Lp,Handmaker David Sidney,0.264,Lyrical Corp I,0.489
116,30031,1334109,Two Sigma Spectrum Cayman Fund,13512.0,137137,Two Sigma Spectrum Cayman Fund,0.0,159.0,152254,Two Sigma Advisers,0.883,Two Sigma Investments Lp,Two Sigma Management,0.727,Two Sigma Management,0.727
117,33088,1517233,Zca Long Short Strategy,3572.0,146607,Zca Long Short Strategy,0.0,6899.0,153632,Long Short Advisors,0.963,Edward Antoian,West Matthew Edward,0.364,Antoian Edward Nishan,0.571
118,30031,1334109,Two Sigma Spectrum Cayman Fund,13512.0,137137,Two Sigma Spectrum Cayman Fund,0.0,159.0,152254,Two Sigma Advisers,0.883,Ian Pilgrim,Schoppner Dawn Marie,0.323,Hitchon Jonathan William,0.4
119,28065,1053516,Peconic Triumph Fund,2878.0,108857,Peconic Triumph Fund,0.0,,138336,Triumph Investment Fund Management,0.89,William Harnisch,Moore James Stuart,0.294,Harnisch William Francis,0.6
120,28065,1053516,Peconic Triumph Fund,2878.0,108857,Peconic Triumph Fund,0.0,,138336,Triumph Investment Fund Management,0.89,Wook Lee,Moore James Stuart,0.308,Lee Wook Nmn,0.5
121,30356,1365067,Boston Common International Social Fund,3231.0,123558,Boston Common International Social Fund,0.0,3231.0,123558,Boston Common Asset Management,0.864,Steven Heim,Heim Steven F,0.583,Heim Steven F,0.583
122,30356,1365067,Boston Common International Social Fund,3231.0,123558,Boston Common International Social Fund,0.0,3231.0,123558,Boston Common Asset Management,0.864,Nancy Spady,Spady Nancy Grossman,0.452,Spady Nancy Grossman,0.452
123,30356,1365067,Boston Common International Social Fund,3231.0,123558,Boston Common International Social Fund,0.0,3231.0,123558,Boston Common Asset Management,0.864,Boston Common Asset Management,Rosemont Partners Iii Lp,0.37,Rosemont Partners Iii Lp,0.37
124,30356,1365067,Boston Common International Social Fund,3231.0,123558,Boston Common International Social Fund,0.0,3231.0,123558,Boston Common Asset Management,0.864,Geeta Aiyer,Aiyer Geeta Bhide,0.571,Aiyer Geeta Bhide,0.571
125,30356,1365067,Boston Common International Social Fund,3231.0,123558,Boston Common International Social Fund,0.0,3231.0,123558,Boston Common Asset Management,0.864,Matthew Zalosh,Zalosh Matthew Adam,0.545,Zalosh Matthew Adam,0.545
126,30031,1334109,Two Sigma Spectrum Cayman Fund,13512.0,137137,Two Sigma Spectrum Cayman Fund,0.0,159.0,152254,Two Sigma Advisers,0.883,Warren Keens,Otto Carsten Nmn,0.429,Otto Carsten Nmn,0.429
127,34157,1559070,Fiam Select Emerging Markets Equity Fund,10035.0,133196,Fiam Select Emerging Markets Equity Fund,0.0,4685.0,168496,Select Equity Group,0.915,Judy Marlinski,Select Equity Partners Lp,0.359,Marlinski Judy Anne,0.545
128,30942,1407411,Wishbone International Partners,75715.0,283479,Wishbone International Partners,0.0,75715.0,283479,Wishbone Management,0.796,Wishbone Management Lp,Wishbone Management Gp,0.955,Wishbone Management Gp,0.955
129,30942,1407411,Wishbone International Partners,75715.0,283479,Wishbone International Partners,0.0,75715.0,283479,Wishbone Management,0.796,Brian Eden,Wishbone Management Gp,0.312,Wishbone Management Gp,0.312
